keys,en,ru
KEY_INTRO_THOUGHT_1,"Where am I?.. My head... How did I end up here?","Где я?.. Моя голова... Как я здесь оказался?"
KEY_INTRO_THOUGHT_2,"It looks like there's something on that island","Кажется, на том острове есть что-то"
KEY_INTRO_THOUGHT_3,"I think I can jump over to it","До него можно допрыгнуть"
KEY_INTRO_TUTORIAL_1,"Press WASD keys to move around the island","Нажмите на клавиши WASD для передвижения"
KEY_INTRO_TUTORIAL_2,"Press Space to jump","Нажмите на Space, чтобы прыгать"
KEY_FIND_CRYSTAL_THOUGHT,"Wow, is this an alchemical crystal?! It will make a great ether...","Ого, это же алхимический кристалл! Из него выйдет отличный эфир..."
KEY_FIND_CRYSTAL_TUTORIAL,"Press [E] to gather the ingredient","Нажмите [E], чтобы собрать ингредиент"
KEY_FALL_ABYSS_THOUGHT,"This abyss is endless... The island's magic brought me back","Эта бездна бесконечна... Магия острова вернула меня обратно"
KEY_MENU_PLAY,"Play","Играть"
KEY_MENU_CONTINUE,"Continue","Продолжить"
KEY_MENU_SETTINGS,"Settings","Настройки"
KEY_MENU_EXIT,"Exit","Выйти"
KEY_MENU_BACK,"Back","Вернуться"
KEY_MENU_TO_MAIN_MENU,"To main menu","В главное меню"
KEY_MENU_PAUSE,"p a u s e","п а у з а"
KEY_SETTINGS_TITLE,"Settings","Настройки"
KEY_TAB_GENERAL,"General","Общие"
KEY_TAB_VIDEO,"Video","Видео"
KEY_TAB_AUDIO,"Audio","Звук"
KEY_TAB_CONTROLS,"Controls","Управление"
KEY_TEXT_LANGUAGE,"Language","Язык"
KEY_TEXT_TUTORIAL,"Tutorial","Обучение"
KEY_TEXT_FPS_COUNTER,"FPS Counter","Отображение FPS"
KEY_TEXT_FPS_LIMIT,"FPS Limit","Ограничение FPS"
KEY_TEXT_GAMEPLAY,"Gameplay","Игровой процесс"
KEY_TEXT_CLEAR_SAVE,"Clear Save","Стереть сохранение"
KEY_TEXT_RESET_SETTINGS,"Reset Settings","Сброс настроек"
KEY_BUTTON_RESET,"Reset","Сбросить"
KEY_BUTTON_BACK,"Back","Назад"
KEY_BUTTON_APPLY,"Apply","Применить"
KEY_BUTTON_WITHOUT_LIMIT,"No","Без ограничений"
KEY_SETTINGS_QUALITY,"Graphics Quality","Качество графики"
KEY_SETTINGS_QUALITY_LOW,"Low","Низкое"
KEY_SETTINGS_QUALITY_MEDIUM,"Medium","Среднее"
KEY_SETTINGS_QUALITY_HIGH,"High","Высокое"
KEY_SETTINGS_QUALITY_ULTRA,"Ultra","Ультра"
KEY_SETTINGS_FOV,"FOV (Field of View)","Угол обзора (FOV)"
KEY_SETTINGS_RESOLUTION,"Resolution","Разрешение"
KEY_SETTINGS_WINDOW_MODE,"Screen Mode","Экранный режим"
KEY_SETTINGS_WINDOW_MODE_WINDOW,"Windowed","Оконный"
KEY_SETTINGS_WINDOW_MODE_FULL,"Full Screen","Полноэкранный"
KEY_SETTINGS_WINDOW_MODE_HALF,"Half-Windowed","Полуоконный"
KEY_SETTINGS_VSYNC,"Vertical Sync","Вертикальная синхронизация"
KEY_SETTINGS_MASTER_VOL,"Master Volume","Общая громкость"
KEY_SETTINGS_MUSIC_VOL,"Music","Музыка"
KEY_SETTINGS_SFX_VOL,"SFX","Эффекты"
KEY_SETTINGS_SENSITIVITY,"Mouse Sensitivity","Чувствительность мыши"
KEY_SETTINGS_INVERT,"Invert Mouse","Инверсия мыши"
KEY_BUTTON_BACK,"Back","Назад"
KEY_BUTTON_APPLY,"Apply","Применить"


